place,0,1,2,3,4,5,6,7,8,9
참베이커리,가춘,우리동네 식빵해적단,브레드숨,파리바게뜨 중앙대점,오롯이 굽다,브레드덕,언니의식빵가게,우리동네식빵,리치몽브레 흑석점,뚜레쥬르 상도래미안점
카페 루반,라임플레쉬카페,커피브라운,엘에스와이랩,카페힐,모코커피,가성비,빅토리아가든,마린커피,터방내,카페드림 중앙대법학관점
투앤나인,카페힐우드,데일리커피,카페디차,오티움 로스터리,스타벅스 숭실대입구역점,카페잇 중앙대병원점,더치앤빈 흑리단길점,스타벅스 중앙대점,셀렉토커피 상도두산점,커피나무 상도점
베이커즈원,모녀당 상도점,요세프,카페 러브구스토,던킨 중앙대병원점,카페잇 중앙대병원점,커피나무 상도점,커피나무 랩,투앤나인,커피나무 중앙대정문점,브라운필투
브레드덕,브레드숨,가춘,참베이커리,우리동네 식빵해적단,우리동네식빵,언니의식빵가게,파리바게뜨 중앙대점,오롯이 굽다,엘리스파이,리치몽브레 흑석점
우리동네식빵,우리동네 식빵해적단,브레드덕,언니의식빵가게,가춘,BGT호두단팥빵 숭실대역점,파리바게트 상도역점,브레드숨,참베이커리,파리바게뜨 중앙대점,뚜레쥬르 상도래미안점
오카페 흑석점,스타벅스 숭실대점,이디야 중앙대후문점,할리스 중앙대점,델리앤젤라또 중앙대병원점,스타벅스 중앙대점,커피집,스타벅스 숭실대입구역점,이디야커피 중앙대점,블루포트,카페모찌 중앙대점
브라운필투,카페 러브구스토,카페드림 중앙대법학관점,가성비,카페 빈,마담콩cafe,블루포트,갓프레소 본점,커피나무 중앙대정문점,마린커피,스타벅스 숭실대입구역점
뚜레쥬르 중앙대100주년관점,BGT호두단팥빵 숭실대역점,흑석제과,리치몽브레 흑석점,뚜레쥬르 상도래미안점,경성찹쌀꽈배기 상도역점,언니의식빵가게,63베이커리,우리동네식빵,스마일꽈배기,가춘
리치몽브레 흑석점,오롯이 굽다,가춘,파리바게뜨 중앙대점,언니의식빵가게,뚜레쥬르 상도래미안점,BGT호두단팥빵 숭실대역점,참베이커리,경성찹쌀꽈배기 상도역점,브레드숨,브레드덕
오롯이 굽다,파리바게뜨 중앙대점,가춘,참베이커리,리치몽브레 흑석점,파리바게뜨 노들역점,브레드숨,우리동네 식빵해적단,언니의식빵가게,뚜레쥬르 상도래미안점,브레드덕
정우원,카페찌미스,유프카페 중앙대후문점,비틀쥬스 중앙대학교병원점,보트커피,베브릿지 중앙대점,블루버블 버블티,카페린91,펠어커피 상도점,더웨이,커피향기
카페노들수,커피나무 중앙대정문점,마담콩cafe,셀렉토커피 상도두산점,카페디차,멜로드,카페잇 중앙대병원점,요거프레소 중앙대점,이디야커피 중앙대점,스타벅스 중앙대점,펠어커피 상도점
파리바게트 상도역점,우리동네식빵,우리동네 식빵해적단,뚜레쥬르 상도래미안점,BGT호두단팥빵 숭실대역점,언니의식빵가게,가춘,브레드덕,파리바게뜨 중앙대점,참베이커리,63베이커리
흑석제과,경성찹쌀꽈배기 상도역점,스마일꽈배기,리치몽브레 흑석점,BGT호두단팥빵 숭실대역점,뚜레쥬르 중앙대100주년관점,파리바게뜨 중앙대점,가춘,오롯이 굽다,우리동네 식빵해적단,언니의식빵가게
커피킹,빽다방 숭실대점,중앙대학교경영관카페드림,이공커피 흑석본점,메가MGC커피 숭실대입구역점,더벤티 중앙대점,메가MGC커피 상도중앙점,문커피,달콩커피,어펜딕스,이디야커피 상도중앙점
BGT호두단팥빵 숭실대역점,우리동네식빵,뚜레쥬르 상도래미안점,우리동네 식빵해적단,파리바게뜨 중앙대점,리치몽브레 흑석점,가춘,언니의식빵가게,참베이커리,파리바게트 상도역점,오롯이 굽다
갓프레소 본점,블루포트,모코커피,카페 빈,마린커피,하드앤빈스,커피집,메가MGC커피 중앙대점,이디야커피 중앙대점,흑석커피,스타벅스 숭실대점
커피더캠프 흑석역점,st.535로스터리카페,오티움 로스터리,데일리커피,카페힐우드,더치앤빈 흑리단길점,카페린91,카페디차,이디야커피 상도중앙점,달콩커피,투앤나인
